-	2: 404.title	[...slug]	The page you're looking for can't be found.	Die gewünschte Seite wurde nicht gefunden.	
-	07: trackpad.gestures.lookup.title	index	Look up and Quick Look	Quick Look und Nachschlagen	
+	07: trackpad.gestures.lookup.title	index	Look up and Quick Look	Nachschlagen und Übersicht	
-	08: trackpad.gestures.lookup.body	index	**Click button 4** on your mouse to look up a word in the dictionary, preview websites in Safari or files in Finder, and more.\n\nIt works just like tapping with 3 fingers or force clicking on an Apple Trackpad.	**Klicke Taste 4** auf deiner Maus, um ein Wort im Wörterbuch nachzuschlagen, einen schnellen Blick auf Webseiten in Safari oder Dateien im Finder zu werfen, und mehr.\n\nEs funktioniert genauso wie das Tippen mit 3 Fingern oder ein kräftiger Klick auf einem Apple Trackpad.	Tip: For Apple-specific terms like 'Quick Look' or phrases like 'tapping with 3 fingers', you can usually find official translations on Apple's support pages, marketing sites or inside System Settings.
+	08: trackpad.gestures.lookup.body	index	**Click button 4** on your mouse to look up a word in the dictionary, preview websites in Safari or files in Finder, and more.\n\nIt works just like tapping with 3 fingers or force clicking on an Apple Trackpad.	**Klicke Taste 4** auf deiner Maus, um ein Wort im Lexikon nachzuschlagen, Websites in Safari oder Dateien im Finder in der Vorschau zu sehen und mehr.\n\nEs funktioniert genau wie Tippen mit 3 Fingern oder festes Klicken auf einem Apple Trackpad.	Tip: For Apple-specific terms like 'Quick Look' or phrases like 'tapping with 3 fingers', you can usually find official translations on Apple's support pages, marketing sites or inside System Settings.
-	10: trackpad.gestures.mission-control.body	index	Hold down **button 4** on your mouse, then **drag** the mouse **up** to see an overview of your open windows, applications, and desktops.\n\nIt works just like swiping up with four fingers on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt und **ziehe** dann die Maus **nach oben**, um eine Übersicht über deine geöffneten Fenster, Apps und Schreibtische anzuzeigen.\n\nEs funktioniert genauso wie das Streichen nach oben mit vier Fingern auf einem Apple Trackpad.	
+	10: trackpad.gestures.mission-control.body	index	Hold down **button 4** on your mouse, then **drag** the mouse **up** to see an overview of your open windows, applications, and desktops.\n\nIt works just like swiping up with four fingers on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt, dann **ziehe** die Maus **nach oben**, um eine Übersicht deiner offenen Fenster, Programme und Schreibtische zu sehen.\n\nEs funktioniert genau wie nach oben Streichen mit vier Fingern auf einem Apple Trackpad.	
-	12: trackpad.gestures.spaces.body	index	Hold down **button 4** on your mouse, then **drag** the mouse **left** or **right** to move to another desktop or fullscreen-app.\n\nIt works just like swiping left or right with four fingers on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt und **ziehe** dann die Maus **nach links** oder **nach rechts**, um zwischen Schreibtischen und Vollbild-Apps zu wechseln.\n\nEs funktioniert genauso wie das Streichen nach links oder rechts mit vier Fingern auf einem Apple Trackpad.	
+	12: trackpad.gestures.spaces.body	index	Hold down **button 4** on your mouse, then **drag** the mouse **left** or **right** to move to another desktop or fullscreen-app.\n\nIt works just like swiping left or right with four fingers on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt, dann **ziehe** die Maus **nach links** oder **rechts**, um zu einem anderen Schreibtisch oder einer Vollbild-App zu wechseln.\n\nEs funktioniert genau wie nach links oder rechts Streichen mit vier Fingern auf einem Apple Trackpad.	
-	13: trackpad.gestures.app-expose.title	index	App Exposé	App Exposé	
+	13: trackpad.gestures.app-expose.title	index	App Exposé	App-Exposé	
-	14: trackpad.gestures.app-expose.body	index	Hold down **button 4** on your mouse, then **drag** the mouse **down** to see all windows of the app you're using.\n\nIt works just like swiping down with four fingers on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt und **ziehe** dann die Maus **nach unten**, um alle Fenster der App anzuzeigen, die du verwendest.\n\nEs funktioniert genauso wie das Streichen nach unten mit vier Fingern auf einem Apple Trackpad.	
+	14: trackpad.gestures.app-expose.body	index	Hold down **button 4** on your mouse, then **drag** the mouse **down** to see all windows of the app you're using.\n\nIt works just like swiping down with four fingers on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt, dann **ziehe** die Maus **nach unten**, um alle Fenster der App zu sehen, die du verwendest.\n\nEs funktioniert genau wie nach unten Streichen mit vier Fingern auf einem Apple Trackpad.	
-	15: trackpad.gestures.show-desktop.title	index	Show desktop	Schreibtisch anzeigen	
+	15: trackpad.gestures.show-desktop.title	index	Show desktop	Schreibtisch zeigen	
-	16: trackpad.gestures.show-desktop.body	index	Hold down **button 4** on your mouse, then **scroll up** to show your desktop.\n\nIt works just like spreading your thumb and three fingers apart on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt und **scrolle nach oben**, um deinen Schreibtisch anzuzeigen.\n\nEs funktioniert genauso wie das Auseinanderziehen von Daumen und drei Fingern auf einem Apple Trackpad.	
+	16: trackpad.gestures.show-desktop.body	index	Hold down **button 4** on your mouse, then **scroll up** to show your desktop.\n\nIt works just like spreading your thumb and three fingers apart on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt, dann **scrolle nach oben**, um deinen Schreibtisch zu zeigen.\n\nEs funktioniert genau wie das Auseinanderziehen von Daumen und drei Fingern auf einem Apple Trackpad.	
-	18: trackpad.gestures.launchpad.body	index	Hold down **button 4** on your mouse, then **scroll down** to display Launchpad.\n\nIt works just like pinching your thumb and three fingers together on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt und **scrolle nach unten**, um Launchpad anzuzeigen.\n\nEs funktioniert genauso wie das Zusammenziehen von Daumen und drei Fingern auf einem Apple Trackpad.	
+	18: trackpad.gestures.launchpad.body	index	Hold down **button 4** on your mouse, then **scroll down** to display Launchpad.\n\nIt works just like pinching your thumb and three fingers together on an Apple Trackpad.	Halte **Taste 4** auf deiner Maus gedrückt, dann **scrolle nach unten**, um Launchpad anzuzeigen.\n\nEs funktioniert genau wie das Zusammenführen von Daumen und drei Fingern auf einem Apple Trackpad.	
-	19: trackpad.gestures.zoom.title	index	Zoom in or out	Vergrößern und verkleinern	
+	19: trackpad.gestures.zoom.title	index	Zoom in or out	Vergrößern oder verkleinern	
-	20: trackpad.gestures.zoom.body	index	Hold down **button 5** on your mouse, then **scroll up** or **down** to zoom in or out in apps like Safari and Preview.\n\nIt works just like pinching with two fingers on an Apple Trackpad.	Halte **Taste 5** auf deiner Maus gedrückt und **scrolle nach oben** oder **nach unten**, um den Inhalt in Apps wie Safari oder Vorschau zu vergrößern oder zu verkleinern.\n\nEs funktioniert genauso wie das Auf- oder Zusammenziehen mit zwei Fingern auf einem Apple Trackpad.	
+	20: trackpad.gestures.zoom.body	index	Hold down **button 5** on your mouse, then **scroll up** or **down** to zoom in or out in apps like Safari and Preview.\n\nIt works just like pinching with two fingers on an Apple Trackpad.	Halte **Taste 5** auf deiner Maus gedrückt, dann **scrolle nach oben** oder **unten**, um in Apps wie Safari und Vorschau zu vergrößern oder zu verkleinern.\n\nEs funktioniert genau wie Aufziehen mit zwei Fingern auf einem Apple Trackpad.	
-	21: trackpad.gestures.pages.title	index	Go back and forward	Vorwärts und zurück gehen	
+	21: trackpad.gestures.pages.title	index	Go back and forward	Vor und zurück	
-	22: trackpad.gestures.pages.body	index	Hold down **button 5** on your mouse, then **drag** the mouse **left** or **right** to show the previous or next page in apps like Safari.\n\nIt works just like swiping left or right with two fingers on an Apple Trackpad.	Halte **Taste 5** auf deiner Maus gedrückt und **ziehe** dann die Maus **nach links** oder **nach rechts**, um die vorherige oder nächste Seite in Apps wie Safari anzuzeigen.\n\nEs funktioniert genauso wie das Streichen nach links oder rechts mit zwei Fingern auf einem Apple Trackpad.	
+	22: trackpad.gestures.pages.body	index	Hold down **button 5** on your mouse, then **drag** the mouse **left** or **right** to show the previous or next page in apps like Safari.\n\nIt works just like swiping left or right with two fingers on an Apple Trackpad.	Halte **Taste 5** auf deiner Maus gedrückt, dann **ziehe** die Maus **nach links** oder **rechts**, um die vorherige oder nächste Seite in Apps wie Safari anzuzeigen.\n\nEs funktioniert genau wie nach links oder rechts Streichen mit zwei Fingern auf einem Apple Trackpad.	
-	24: trackpad.gestures.mail-actions.body	index	Hold down **button 5** on your mouse, then **drag** the mouse **left** or **right** to delete messages in Mail, quickly reply to an iMessage, and more.\n\nAny gesture you can perform inside an app by swiping on an Apple Trackpad works just as well using Mac Mouse Fix.	Halte **Taste 5** auf deiner Maus gedrückt und **ziehe** dann die Maus **nach links** oder **nach rechts**, um Nachrichten in Mail zu löschen, schnell auf eine iMessage zu antworten und mehr.\n\nJede Geste, die du in einer App durch Streichen auf einem Apple Trackpad ausführen kannst, funktioniert genauso gut mit Mac Mouse Fix.	
+	24: trackpad.gestures.mail-actions.body	index	Hold down **button 5** on your mouse, then **drag** the mouse **left** or **right** to delete messages in Mail, quickly reply to an iMessage, and more.\n\nAny gesture you can perform inside an app by swiping on an Apple Trackpad works just as well using Mac Mouse Fix.	Halte **Taste 5** auf deiner Maus gedrückt, dann **ziehe** die Maus **nach links** oder **rechts**, um Nachrichten in Mail zu löschen, schnell auf eine iMessage zu antworten und mehr.\n\nJede Geste, die du in einer App durch Streichen auf einem Apple Trackpad ausführen kannst, funktioniert genauso gut mit Mac Mouse Fix.	
-	26: trackpad.gestures.free-scroll.body	index	Hold down **button 5** on your mouse, then **drag** the mouse in **any direction** to precisely scroll with 360° freedom and an intuitive inertial effect. So you can navigate the canvas with ease in pro apps like Excel or Affinity Photo.\n\nIt's just as easy and precise as scrolling on an Apple Trackpad.	Halte **Taste 5** auf deiner Maus gedrückt und **ziehe** dann die Maus in **beliebiger Richtung**, um präzise mit 360° Freiheit und einem intuitiven Trägheitseffekt zu scrollen. So kannst du dich mühelos in Profi-Apps wie Excel oder Affinity Photo bewegen.\n\nEs ist genauso einfach und präzise wie das Scrollen auf einem Apple Trackpad.	
+	26: trackpad.gestures.free-scroll.body	index	Hold down **button 5** on your mouse, then **drag** the mouse in **any direction** to precisely scroll with 360° freedom and an intuitive inertial effect. So you can navigate the canvas with ease in pro apps like Excel or Affinity Photo.\n\nIt's just as easy and precise as scrolling on an Apple Trackpad.	Halte **Taste 5** auf deiner Maus gedrückt, dann **ziehe** die Maus in **jede Richtung**, um präzise mit 360°-Freiheit und einem intuitiven Trägheitseffekt zu scrollen. So kannst du die Leinwand in Profi-Apps wie Excel oder Affinity Photo mühelos navigieren.\n\nEs ist genauso einfach und präzise wie Scrollen auf einem Apple Trackpad.	
-	27: trackpad.gestures.smart-zoom.title	index	Smart zoom	Intelligentes Zoomen	
+	27: trackpad.gestures.smart-zoom.title	index	Smart zoom	Intelligenter Zoom	
-	28: trackpad.gestures.smart-zoom.body	index	**Click button 5** on your mouse to zoom in and back out of a webpage or PDF.\n\nIt works just like double-tapping with two fingers on an Apple Trackpad.	**Klicke Taste 5** auf deiner Maus, um eine Webseite oder ein PDF zu vergrößern oder zu verkleinern.\n\nEs funktioniert genauso wie das Doppeltippen mit zwei Fingern auf einem Apple Trackpad.	
+	28: trackpad.gestures.smart-zoom.body	index	**Click button 5** on your mouse to zoom in and back out of a webpage or PDF.\n\nIt works just like double-tapping with two fingers on an Apple Trackpad.	**Klicke Taste 5** auf deiner Maus, um in eine Webseite oder ein PDF hinein- und wieder herauszuzoomen.\n\nEs funktioniert genau wie Doppeltippen mit zwei Fingern auf einem Apple Trackpad.	
-	31: scroll.intro.body	index	Scrolling with a third-party mouse on macOS can feel **stuttery** and **hard to control**. Well, not any more! Experience a **refined**, **momentum-based** scrolling algorithm that makes navigating your computer **effortless** and **natural**.	Das Scrollen mit einer Drittanbieter-Maus unter macOS kann sich **holprig** und **schwer kontrollierbar** anfühlen. Jetzt nicht mehr! Erlebe einen **ausgefeilten**, **schwungbasierten** Scroll-Algorithmus, der die Navigation deines Computers **mühelos** und **natürlich** macht.	
+	31: scroll.intro.body	index	Scrolling with a third-party mouse on macOS can feel **stuttery** and **hard to control**. Well, not any more! Experience a **refined**, **momentum-based** scrolling algorithm that makes navigating your computer **effortless** and **natural**.	Scrollen mit einer Drittanbieter-Maus unter macOS kann sich **ruckelig** und **schwer zu kontrollieren** anfühlen. Nun, nicht mehr! Erlebe einen **verfeinerten**, **trägheitsbasierten** Scroll-Algorithmus, der das Navigieren auf deinem Computer **mühelos** und **natürlich** macht.	
-	34: scroll.smoothness.high.body	index	With *Smoothness: High*, scrolling feels **incredibly smooth** - **just like a Trackpad**. Details like the subtle bounce at the end of a page make for a dynamic and pleasant feel. Still, scrolling is super responsive and easy to control. With this option, you can also scroll large distances very easily.	Mit *Flüssigkeit: Hoch*, fühlt sich das Scrollen **unglaublich flüssig** an - **genau wie bei einem Trackpad**. Details wie der dezente Rückprall am Ende einer Seite sorgen für ein dynamisches und angenehmes Scroll-Gefühl. Trotzdem ist das Scrollen super reaktionsschnell und leicht zu steuern. Mit dieser Option kannst du auch sehr leicht weite Strecken scrollen.	
+	34: scroll.smoothness.high.body	index	With *Smoothness: High*, scrolling feels **incredibly smooth** - **just like a Trackpad**. Details like the subtle bounce at the end of a page make for a dynamic and pleasant feel. Still, scrolling is super responsive and easy to control. With this option, you can also scroll large distances very easily.	Mit *Flüssigkeit: Hoch* fühlt sich Scrollen **unglaublich geschmeidig** an - **genau wie ein Trackpad**. Details wie das subtile Zurückfedern am Ende einer Seite sorgen für ein dynamisches und angenehmes Gefühl. Trotzdem ist das Scrollen super reaktionsschnell und einfach zu kontrollieren. Mit dieser Option kannst du auch sehr einfach große Strecken scrollen.	
-	35: scroll.smoothness.regular.title	index	Smoothness: **Regular**	Flüssigkeit: **Regulär**	
+	35: scroll.smoothness.regular.title	index	Smoothness: **Regular**	Flüssigkeit: **Normal**	
-	36: scroll.smoothness.regular.body	index	Choose *Smoothness: Regular* for **highly responsive** scrolling that **feels like you're directly pushing the page with your finger**. The short, momentum-based animations provide a refined feel.\n\nThis option feels similar to scrolling in Chrome or modern Windows apps.	Wähle *Flüssigkeit: Regulär* für **reaktionsschnelles** Scrollen, das sich anfühlt, **als würdest du die Seite direkt mit dem Finger schieben**. Die kurzen, schwungbasierten Animationen bieten ein raffiniertes Scroll-Gefühl.\n\nDiese Option fühlt sich ähnlich an wie das Scrollen in Chrome oder modernen Windows-Apps.	
+	36: scroll.smoothness.regular.body	index	Choose *Smoothness: Regular* for **highly responsive** scrolling that **feels like you're directly pushing the page with your finger**. The short, momentum-based animations provide a refined feel.\n\nThis option feels similar to scrolling in Chrome or modern Windows apps.	Wähle *Flüssigkeit: Normal* für **hochreaktives** Scrollen, das **sich anfühlt, als würdest du die Seite direkt mit deinem Finger schieben**. Die kurzen, trägheitsbasierten Animationen bieten ein verfeinertes Gefühl.\n\nDiese Option fühlt sich ähnlich an wie Scrollen in Chrome oder modernen Windows-Apps.	
-	38: scroll.smoothness.off.body	index	With *Smoothness: Off*, scrolling works as it normally does under macOS - **without any animation** or smoothing. But with one key difference: **One increment of the scroll wheel will scroll a set number of *lines***, rather than just a few pixels, making navigation more consistent and comfortable.\n\nThis is how scrolling also works in most apps on Windows and Linux, as well as older macOS versions.	Mit *Flüssigkeit: Aus* funktioniert das Scrollen wie gewohnt unter macOS - **ohne jede Animation** oder Glättung. Aber mit einem entscheidenden Unterschied: **Eine Raste des Scrollrads** scrollt eine **festgelegte Anzahl von *Zeilen***, statt nur ein paar Pixel. Das macht die Navigation konsistenter und angenehmer.\n\nSo funktioniert das Scrollen auch in den meisten Apps auf Windows und Linux, sowie in älteren macOS-Versionen.	
+	38: scroll.smoothness.off.body	index	With *Smoothness: Off*, scrolling works as it normally does under macOS - **without any animation** or smoothing. But with one key difference: **One increment of the scroll wheel will scroll a set number of *lines***, rather than just a few pixels, making navigation more consistent and comfortable.\n\nThis is how scrolling also works in most apps on Windows and Linux, as well as older macOS versions.	Mit *Flüssigkeit: Aus* funktioniert Scrollen wie normalerweise unter macOS - **ohne jegliche Animation** oder Glättung. Aber mit einem entscheidenden Unterschied: **Eine Stufe des Scrollrads scrollt eine festgelegte Anzahl von *Zeilen***, anstatt nur ein paar Pixel, was die Navigation konsistenter und komfortabler macht.\n\nSo funktioniert Scrollen auch in den meisten Apps unter Windows und Linux sowie in älteren macOS-Versionen.	
-	41: scroll.more.reverse.body	index	Mac Mouse Fix lets you **change the scrolling direction** of your mouse - independently from your Trackpad or Magic Mouse.	Mit Mac Mouse Fix kannst du die **Scrollrichtung** deiner Maus **ändern** - unabhängig von deinem Trackpad oder deiner Magic Mouse.	
+	41: scroll.more.reverse.body	index	Mac Mouse Fix lets you **change the scrolling direction** of your mouse - independently from your Trackpad or Magic Mouse.	Mac Mouse Fix lässt dich die **Scrollrichtung** deiner Maus ändern - unabhängig von deinem Trackpad oder deiner Magic Mouse.	
-	42: scroll.more.modifiers.title	index	Keyboard modifiers	Sondertasten	
+	42: scroll.more.modifiers.title	index	Keyboard modifiers	Tastaturmodifikatoren	
-	43: scroll.more.modifiers.body	index	Hold a keyboard modifier while scrolling to **scroll precisely**, **zoom in or out**, and more.	Halte beim Scrollen eine Sondertaste auf deinem Keyboard gedrückt, um **präzise zu scrollen**, **rein- oder rauszuzoomen** und mehr.	
+	43: scroll.more.modifiers.body	index	Hold a keyboard modifier while scrolling to **scroll precisely**, **zoom in or out**, and more.	Halte einen Tastaturmodifikator beim Scrollen gedrückt, um **präzise zu scrollen**, **zu vergrößern oder zu verkleinern** und mehr.	
-	44: scroll.more.configurable.title	index	Simple yet powerful	Einfach aber flexibel	
+	44: scroll.more.configurable.title	index	Simple yet powerful	Einfach und doch leistungsstark	
-	45: scroll.more.configurable.body	index	You can set up scrolling in Mac Mouse Fix in many different ways with just a few clicks. **All options you choose will feel great without fiddling**. Each scrolling enhancement provided by Mac Mouse Fix can also be turned off, if you prefer how things work natively in macOS.	Mit nur wenigen Klicks kannst du das Scrollen in Mac Mouse Fix auf viele verschiedene Arten einrichten. **Jede von dir gewählte Option wird sich gut anfühlen, ohne dass du herumschrauben musst**. Du kannst jede Scroll-Verbesserung von Mac Mouse Fix auch deaktivieren, wenn du die Art und Weise bevorzugst, wie die Dinge in macOS nativ funktioniert.	
+	45: scroll.more.configurable.body	index	You can set up scrolling in Mac Mouse Fix in many different ways with just a few clicks. **All options you choose will feel great without fiddling**. Each scrolling enhancement provided by Mac Mouse Fix can also be turned off, if you prefer how things work natively in macOS.	Du kannst das Scrollen in Mac Mouse Fix mit nur wenigen Klicks auf viele verschiedene Arten einrichten. **Alle Optionen, die du wählst, fühlen sich ohne Feintuning großartig an**. Jede Scroll-Verbesserung, die Mac Mouse Fix bietet, kann auch ausgeschaltet werden, wenn du es vorziehst, wie die Dinge nativ in macOS funktionieren.	
-	46: customization.intro.title	index	Amazingly {accent2}\n{accent} Intuitive.	Gewaltig {accent2}\n{accent} intuitiv.	
+	46: customization.intro.title	index	Amazingly {accent2}\n{accent} Intuitive.	Erstaunlich {accent2}\n{accent} Intuitiv.	
-	49: customization.intro.body	index	Mac Mouse Fix lets you **do almost anything** you can think of - straight from your mouse! And yet, it's **remarkably easy** to use.	Mac Mouse Fix lässt dich **fast alles tun**, was du dir ausdenken kannst – direkt mit deiner Maus! Und trotzdem ist es **bemerkenswert einfach** zu verwenden.	
+	49: customization.intro.body	index	Mac Mouse Fix lets you **do almost anything** you can think of - straight from your mouse! And yet, it's **remarkably easy** to use.	Mac Mouse Fix lässt dich **fast alles tun**, was du dir vorstellen kannst - direkt von deiner Maus aus! Und trotzdem ist es **bemerkenswert einfach** zu bedienen.	
-	50: customization.action-table.title	index	**Add Actions** to your mouse	Füge deiner Maus **Aktionen hinzu**	
+	50: customization.action-table.title	index	**Add Actions** to your mouse	**Aktionen** zu deiner Maus hinzufügen	
-	51: customization.action-table.body	index	To add an action to your mouse:\n\n1. **Move** the mouse pointer inside the '+'-field. (Shown below)\n2. **Click** the mouse button you want to assign an action to.\nYou can also Double Click, Click and Drag, and much more!\n3. **Choose** an action, such as Smart Zoom.\n\nAnd that's it!	Um deiner Maus eine Aktion hinzuzufügen:\n\n1. **Bewege** den Mauszeiger in das '+' Feld. (Unten abgebildet)\n2. **Klicke** die Maustaste, der du eine Aktion zuweisen möchtest.\nDu kannst auch Doppelklicken, Klicken und Ziehen und mehr!\n3. **Wähle** eine Aktion aus, zum Beispiel Intelligentes Zoomen.\n\nUnd das war's!	Don't forget the linebreaks between the list-items, and inside the second list-item. \nThat lets the website understand this is a list, and display it in a nice way. \n\n(Linebreaks can usually be entered with Option-Return, Shift-Return or just Return, depending on what program you're using.)
+	51: customization.action-table.body	index	To add an action to your mouse:\n\n1. **Move** the mouse pointer inside the '+'-field. (Shown below)\n2. **Click** the mouse button you want to assign an action to.\nYou can also Double Click, Click and Drag, and much more!\n3. **Choose** an action, such as Smart Zoom.\n\nAnd that's it!	Um eine Aktion zu deiner Maus hinzuzufügen:\n\n1. **Bewege** den Mauszeiger in das „+"-Feld. (Unten gezeigt)\n2. **Klicke** die Maustaste, der du eine Aktion zuweisen möchtest.\nDu kannst auch doppelklicken, klicken und ziehen und vieles mehr!\n3. **Wähle** eine Aktion, wie z.B. Intelligenter Zoom.\n\nUnd das war's!	Don't forget the linebreaks between the list-items, and inside the second list-item. \nThat lets the website understand this is a list, and display it in a nice way. \n\n(Linebreaks can usually be entered with Option-Return, Shift-Return or just Return, depending on what program you're using.)
-	52: customization.keyboard-shortcuts.expand-button	index	See How to Set It Up	Einrichtungsvorgang sehen	
+	52: customization.keyboard-shortcuts.expand-button	index	See How to Set It Up	Siehe wie man es einrichtet	
-	53: customization.keyboard-shortcuts.title	index	Use **Keyboard Shortcuts** from your mouse	Verwende **Tastaturkurzbefehle** von deiner Maus aus	
+	53: customization.keyboard-shortcuts.title	index	Use **Keyboard Shortcuts** from your mouse	**Tastaturkurzbefehle** von deiner Maus aus verwenden	
-	54: customization.keyboard-shortcuts.body	index	Mac Mouse Fix lets you **do anything you can do with a keyboard shortcut** straight from your mouse. For example, you can copy and paste, change the audio volume, open a new tab in Safari, and much more.	Mac Mouse Fix ermöglicht es dir, **alles, was du mit einem Tastaturkurzbefehl tun kannst** direkt von deiner Maus aus zu machen. Zum Beispiel kannst du kopieren und einfügen, die Lautstärke ändern, einen neuen Tab in Safari öffnen und vieles mehr.	
+	54: customization.keyboard-shortcuts.body	index	Mac Mouse Fix lets you **do anything you can do with a keyboard shortcut** straight from your mouse. For example, you can copy and paste, change the audio volume, open a new tab in Safari, and much more.	Mac Mouse Fix lässt dich **alles tun, was du mit einem Tastaturkurzbefehl machen kannst**, direkt von deiner Maus aus. Zum Beispiel kannst du kopieren und einfügen, die Lautstärke ändern, einen neuen Tab in Safari öffnen und vieles mehr.	
-	55: benefits.intro.title	index	Great Software.\nGreat {accent2}.	Tolle Software.\nToller {accent2}.	
+	55: benefits.intro.title	index	Great Software.\nGreat {accent2}.	Großartige Software.\nGroßartiger {accent2}.	
-	57: benefits.intro.body	index	I strive to make Mac Mouse Fix a software that you can **feel great** about installing. I want to offer it as **cheaply** as possible, so you feel like you're getting a great deal and so that everyone can afford it. And ultimately, I hope to make this tiny corner of the world a little more **awesome** and nice!	Ich strebe danach, Mac Mouse Fix zu einer Software zu machen bei der du dich **richtig gut fühlst**, sie zu installieren. Ich möchte es so **preiswert** wie möglich anbieten, damit du das Gefühl hast, ein tolles Schnäppchen zu machen und damit es sich jeder leisten kann. Und letztendlich hoffe ich, diesen winzigen Teil der Welt ein bisschen **fantastischer** und netter zu machen!	
+	57: benefits.intro.body	index	I strive to make Mac Mouse Fix a software that you can **feel great** about installing. I want to offer it as **cheaply** as possible, so you feel like you're getting a great deal and so that everyone can afford it. And ultimately, I hope to make this tiny corner of the world a little more **awesome** and nice!	Ich strebe danach, Mac Mouse Fix zu einer Software zu machen, bei deren Installation du dich **gut fühlen** kannst. Ich möchte sie so **günstig** wie möglich anbieten, damit du das Gefühl hast, ein tolles Angebot zu bekommen, und damit sie sich jeder leisten kann. Und letztendlich hoffe ich, diese kleine Ecke der Welt ein bisschen **toller** und schöner zu machen!	
-	58: benefits.software.header	index	Great **Software** ...	Tolle **Software** ...	This forms sort of a sentence with the next header (benefits.pricing.header)\n\nYou can see this in context at macmousefix.com/#price
+	58: benefits.software.header	index	Great **Software** ...	Großartige **Software** ...	This forms sort of a sentence with the next header (benefits.pricing.header)\n\nYou can see this in context at macmousefix.com/#price
-	59: benefits.software.unobtrusive-lightweight.title	index	Unobtrusive. Lightweight. Beautiful.	Unauffällig. Ressourcenschonend. Schön.	
+	59: benefits.software.unobtrusive-lightweight.title	index	Unobtrusive. Lightweight. Beautiful.	Unauffällig. Leichtgewichtig. Schön.	
-	60: benefits.software.unobtrusive-lightweight.body	index	Every detail of Mac Mouse Fix has been considered and optimized to give you the best possible experience while feeling like a **natural extension of your Mac**. I've invested countless hours to make sure that Mac Mouse Fix **uses no more battery or memory than absolutely necessary**. The goal is that you won't even notice Mac Mouse Fix on your computer - except of course, when using your mouse.	Jedes Detail von Mac Mouse Fix wurde bedacht und optimiert, um dir das bestmögliche Erlebnis zu bieten, und sich dabei wie eine **natürliche Erweiterung deines Macs** anzufühlen. Etliche Stunden Arbeit sind eingeflossen damit Mac Mouse Fix **nicht mehr Batterie oder Speicher verwendet, als es wirklich muss**. Das Ziel ist, dass du Mac Mouse Fix überhaupt nicht auf deinem Computer bemerkst - Außer natürlich, wenn du deine Maus benutzt.	
+	60: benefits.software.unobtrusive-lightweight.body	index	Every detail of Mac Mouse Fix has been considered and optimized to give you the best possible experience while feeling like a **natural extension of your Mac**. I've invested countless hours to make sure that Mac Mouse Fix **uses no more battery or memory than absolutely necessary**. The goal is that you won't even notice Mac Mouse Fix on your computer - except of course, when using your mouse.	Jedes Detail von Mac Mouse Fix wurde durchdacht und optimiert, um dir die bestmögliche Erfahrung zu bieten und sich dabei wie eine **natürliche Erweiterung deines Macs** anzufühlen. Ich habe unzählige Stunden investiert, um sicherzustellen, dass Mac Mouse Fix **nicht mehr Akku oder Speicher verbraucht als absolut nötig**. Das Ziel ist, dass du Mac Mouse Fix auf deinem Computer gar nicht bemerkst - außer natürlich, wenn du deine Maus benutzt.	
-	61: benefits.software.open-source.title	index	Open source	Open-Source	
+	61: benefits.software.open-source.title	index	Open source	Open Source	
-	62: benefits.software.open-source.body	index	The source code of Mac Mouse Fix is available on GitHub, so everyone can see exactly how it works. This helps with the development, and it means you can be sure that Mac Mouse Fix is **secure** and **trustworthy**, that it protects your **privacy**, and that it doesn't do anything when it runs in the background - except bringing your mouse experience to the next level!	Der Quellcode von Mac Mouse Fix ist auf GitHub verfügbar, sodass jeder genau sehen kann, wie es funktioniert. Das hilft bei der Entwicklung, und es bedeutet, du kannst dir gewiss sein, dass Mac Mouse Fix **sicher** und **vertrauenswürdig** ist, dass es deine **Privatsphäre** beschützt, und dass es im Hintergrund nichts tut - Außer dein Mauserlebnis auf die nächste Stufe zu heben!	
+	62: benefits.software.open-source.body	index	The source code of Mac Mouse Fix is available on GitHub, so everyone can see exactly how it works. This helps with the development, and it means you can be sure that Mac Mouse Fix is **secure** and **trustworthy**, that it protects your **privacy**, and that it doesn't do anything when it runs in the background - except bringing your mouse experience to the next level!	Der Quellcode von Mac Mouse Fix ist auf GitHub verfügbar, sodass jeder genau sehen kann, wie es funktioniert. Das hilft bei der Entwicklung und bedeutet, dass du sicher sein kannst, dass Mac Mouse Fix **sicher** und **vertrauenswürdig** ist, dass es deine **Privatsphäre** schützt und dass es nichts tut, wenn es im Hintergrund läuft - außer dein Mauserlebnis auf das nächste Level zu bringen!	
-	63: benefits.pricing.header	index	... Great **Price**	... Toller **Preis**	
+	63: benefits.pricing.header	index	... Great **Price**	... Großartiger **Preis**	
